matrix_size v1-b4 v1-b16 v1-64
128 .00005160000000000000 .00003773333333333333 .00004806666666666666 
512 .00110146666666666666 .00091360000000000000 .00265826666666666666 
896 .00493353333333333333 .00311386666666666666 .00368200000000000000 
1280 .01136060000000000000 .00726700000000000000 .01590840000000000000 
1664 .01914980000000000000 .01400566666666666666 .01350500000000000000 
2048 .03770966666666666666 .04348440000000000000 .04637013333333333333 
2432 .04022253333333333333 .02970726666666666666 .02905880000000000000 
2816 .05938833333333333333 .03981133333333333333 .07580086666666666666 
3200 .07137640000000000000 .05115573333333333333 .05101833333333333333 
3584 .11298073333333333333 .06809986666666666666 .13842713333333333333 
3968 .11268320000000000000 .08449913333333333333 .08054460000000000000 
4352 .15989573333333333333 .09763766666666666666 .18278853333333333333 
4736 .16843853333333333333 .11683920000000000000 .11124786666666666666 
5120 .23388746666666666666 .27919013333333333333 .29044193333333333333 
5504 .23922753333333333333 .15350060000000000000 .15203126666666666666 
5888 .31694393333333333333 .18378180000000000000 .33703966666666666666 
6272 .32961413333333333333 .20697926666666666666 .19973726666666666666 
6656 .41238706666666666666 .23256553333333333333 .47554000000000000000 
7040 .44424846666666666666 .22957786666666666666 .25326060000000000000 
7424 .54070446666666666666 .25147286666666666666 .54392120000000000000 
7808 .58478033333333333333 .28297180000000000000 .31404553333333333333 
8192 .62427680000000000000 .76257406666666666666 .79974506666666666666 
